,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
99,12624,12592,12544,12576,12560,12592,12656,12560,12496,12576,12624,12544,12528,12496,12576,12608,12528,12480
100,12656,12592,12560,12544,12512,12576,12704,12592,12512,12576,12592,12608,12608,12512,12528,12608,12576,12512
101,12624,12592,12592,12608,12528,12528,12656,12640,12608,12608,12544,12528,12656,12624,12576,12560,12496,12544
102,12688,12592,12544,12560,12560,12592,12720,12608,12528,12576,12608,12592,12640,12544,12512,12592,12576,12560
103,12608,12576,12592,12592,12512,12528,12656,12640,12560,12560,12560,12592,12656,12576,12496,12576,12576,12576
104,12608,12560,12576,12640,12544,12512,12656,12624,12576,12560,12528,12544,12672,12576,12496,12528,12528,12608
105,12640,12496,12560,12608,12544,12512,12624,12624,12608,12592,12544,12544,12672,12608,12544,12528,12528,12576
106,12704,12576,12544,12576,12576,12592,12688,12560,12512,12592,12608,12592,12640,12544,12544,12592,12592,12560
107,12624,12576,12592,12624,12560,12528,12624,12608,12592,12608,12544,12512,12640,12608,12560,12528,12496,12560
108,12688,12528,12496,12576,12576,12544,12608,12576,12576,12624,12560,12512,12608,12592,12592,12544,12480,12544
109,12688,12560,12512,12560,12576,12592,12640,12560,12560,12624,12592,12528,12576,12576,12576,12576,12512,12496
110,12688,12608,12528,12560,12544,12592,12656,12560,12512,12608,12624,12560,12608,12560,12576,12608,12544,12528
111,12656,12608,12608,12592,12528,12512,12656,12640,12576,12576,12528,12560,12672,12624,12544,12544,12512,12576
112,12720,12576,12544,12576,12576,12592,12672,12576,12528,12576,12608,12608,12640,12528,12528,12592,12576,12560
113,12640,12560,12592,12624,12544,12528,12624,12592,12592,12624,12560,12528,12640,12608,12592,12576,12512,12512
114,12656,12624,12576,12560,12544,12560,12688,12576,12528,12592,12592,12592,12576,12512,12544,12592,12528,12528
115,12640,12576,12592,12576,12480,12544,12656,12592,12496,12544,12528,12608,12544,12512,12496,12592,12528,12560
116,12624,12560,12592,12640,12560,12544,12608,12608,12608,12640,12576,12528,12624,12592,12592,12576,12512,12512
